player;team;appearances;average_rating;fantasy_average;goals;goals_conceded;penalties;penalties_saved;assists;yellow_cards;red_cards;season
Ilic M.;BOL;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
El Azzouzi;BOL;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Ndoye;BOL;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Karlsson;BOL;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Ciocci;CAG;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Radunovic;CAG;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Wieteska;CAG;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Veroli;CAG;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Vigorito;COM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Jack;COM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Braunoder;COM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Engelhardt;COM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Alli;COM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Azon;COM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Gabrielloni;COM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Nava;CRE;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Ravanelli;CRE;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Azzi;CRE;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Quagliata;CRE;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Sernicola;CRE;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Castagnetti;CRE;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Pickel;CRE;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Valoti;CRE;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Zanimacchia;CRE;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Nasti;CRE;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Martinelli T.;FIO;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Bianco;FIO;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Beltran L.;FIO;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Siegrist;GEN;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Vogliacco;GEN;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Taremi;INT;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Pinsoglio;JUV;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Savona;JUV;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Rouhi;JUV;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Weah;JUV;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Douglas Luiz;JUV;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Mandas;LAZ;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Gigot;LAZ;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Fruchtl;LEC;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Samooja;LEC;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Rafia;LEC;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Marchwinski;LEC;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Torriani;MIL;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Thiaw;MIL;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Liberali;MIL;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Okafor;MIL;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Balogh;PAR;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Leoni;PAR;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Hainaut;PAR;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Man;PAR;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Mbambi;PIS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Rus;PIS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Arena;PIS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Bonfanti N.;PIS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Lind;PIS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Zelezny;ROM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Gollini;ROM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Kumbulla;ROM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Abdulhamid;ROM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Salah-Eddine;ROM;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Russo A.;SAS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Satalino;SAS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
Odenthal;SAS;0;0,0;0,0;0;0;0 / 0;0;0;0;0;2025-26
